A,,,,,,
AB = ,Abs,Ali baba,Abacus,,,
AC = ,Airconditioning,Ace,Acorn,Ac alternating current,,
AD = ,Advertisement,Add,After death,,,
AE = ,American eagle,Aeroplane,,,,
AF = ,Air force,Anne frank,Alf,,,
AG = ,Silver (chemical symbol ag),Agent,Alligator,,,
AH = ,Air horn,Air hockey,Adolf hitler,,,
AI = ,Artificial intelligence,,,,,
AJ = ,Apple juice,Aj person,,,,
AK = ,Ak-47,Animal kingdom,,,,
AL = ,Aluminium,Abraham lincoln,Alien,,,
AM = ,Am (as in time),Ammunition,Ambulance,,,
AN = ,Ant,Aunt,Antenna,,,
AO = ,Aosu,Aolong,,,,
AP = ,App,Apple,Airplane,Access point,Apollo,
AQ = ,Aquarium,Aqua,,,,
AR = ,Augmented reality,Art,Arrow,Arm,,
AS = ,Ash,Adam savage,Ass,,,
AT = ,Atom,Atlas,Atmosphere,,,
AU = ,Gold (chemical symbol au),Australia,,,,
AV = ,Avenue,Audio visual,Uav,,,
AW = ,Awake,,,,,
AX = ,Axe,Axis,,,,
,,,,,,
B,,,,,,
BA = ,British airways,Baa,,,,
BC = ,Before christ,Because,Bicycle,Bill clinton,Bacon,
BD = ,Bed,Body,Bad,,,
BE = ,Bee,,,,,
BF = ,Best friend,Big foot,Boyfriend,Butterfly,,
BG = ,Bag,Bog,,,,
BH = ,Bath,Bad habits,Bee hive,,,
BI = ,Bi,Bird,,,,
BJ = ,Blackjack,Bad job,,,,
BK = ,Book,Bike,Burger king,,,
BL = ,Bell,Ball,Bull,Bale,,
BM = ,Bum,Bad manners,Bomb,,,
BN = ,Bin,Bean,Ban,Bone,,
BO = ,Body odor,Bottle,Boo,,,
BP = ,British petroleum,Backpack,Beep,,,
BQ = ,Barbeque,Be quiet,,,,
BR = ,Bar,Bedroom,Beer,,,
BS = ,Bus,Bass,Boss,,,
BT = ,Boot,Bat,Bet,,,
BU = ,Bulb,,,,,
BV = ,Beaver,,,,,
BW = ,Bow,Black widow,Black & white,,,
BX = ,Box,,,,,
,,,,,,
C,,,,,,
CA = ,Cactus,,,,,
